provider,type,range
AzureFrontDoor,ipv4,20.119.155.128/29
AzureFrontDoor,ipv4,20.150.160.96/29
AzureFrontDoor,ipv4,20.165.78.75/32
AzureFrontDoor,ipv4,20.189.106.112/29
AzureFrontDoor,ipv4,20.192.161.104/29
AzureFrontDoor,ipv4,20.192.225.48/29
AzureFrontDoor,ipv4,20.197.145.10/31
AzureFrontDoor,ipv4,20.197.145.16/29
AzureFrontDoor,ipv4,20.210.70.64/30
AzureFrontDoor,ipv4,20.215.4.240/29
AzureFrontDoor,ipv4,20.217.44.240/29
AzureFrontDoor,ipv4,40.67.48.104/29
AzureFrontDoor,ipv4,40.74.30.72/29
AzureFrontDoor,ipv4,40.80.56.104/29
AzureFrontDoor,ipv4,40.80.168.104/29
AzureFrontDoor,ipv4,40.80.184.120/29
AzureFrontDoor,ipv4,40.82.248.248/29
AzureFrontDoor,ipv4,40.89.16.104/29
AzureFrontDoor,ipv4,48.192.88.228/30
AzureFrontDoor,ipv4,48.192.88.232/29
AzureFrontDoor,ipv4,48.192.136.20/30
AzureFrontDoor,ipv4,48.194.5.188/30
AzureFrontDoor,ipv4,48.194.6.0/29
AzureFrontDoor,ipv4,48.194.6.17/32
AzureFrontDoor,ipv4,48.194.6.18/31
AzureFrontDoor,ipv4,48.194.215.226/31
AzureFrontDoor,ipv4,48.194.215.232/29
AzureFrontDoor,ipv4,48.195.103.80/29
AzureFrontDoor,ipv4,48.195.103.88/31
AzureFrontDoor,ipv4,48.215.176.192/29
AzureFrontDoor,ipv4,48.215.177.209/32
AzureFrontDoor,ipv4,48.223.58.96/28
AzureFrontDoor,ipv4,51.12.41.8/29
AzureFrontDoor,ipv4,51.12.193.8/29
AzureFrontDoor,ipv4,51.53.30.144/29
AzureFrontDoor,ipv4,51.57.123.64/28
AzureFrontDoor,ipv4,51.104.25.128/29
AzureFrontDoor,ipv4,51.105.80.104/29
AzureFrontDoor,ipv4,51.105.88.104/29
AzureFrontDoor,ipv4,51.107.48.104/29
AzureFrontDoor,ipv4,51.107.144.104/29
AzureFrontDoor,ipv4,51.120.40.104/29
AzureFrontDoor,ipv4,51.120.224.104/29
AzureFrontDoor,ipv4,51.137.160.112/29
AzureFrontDoor,ipv4,52.136.48.104/29
AzureFrontDoor,ipv4,52.140.104.104/29
AzureFrontDoor,ipv4,52.150.136.120/29
AzureFrontDoor,ipv4,52.159.71.160/29
AzureFrontDoor,ipv4,52.228.80.120/29
AzureFrontDoor,ipv4,57.159.92.64/31
AzureFrontDoor,ipv4,57.165.83.216/29
AzureFrontDoor,ipv4,57.175.44.134/31
AzureFrontDoor,ipv4,57.175.48.152/29
AzureFrontDoor,ipv4,68.210.172.176/29
AzureFrontDoor,ipv4,68.221.93.128/29
AzureFrontDoor,ipv4,69.15.0.0/16
AzureFrontDoor,ipv4,74.147.18.120/30
AzureFrontDoor,ipv4,74.147.18.124/32
AzureFrontDoor,ipv4,74.161.246.242/31
AzureFrontDoor,ipv4,74.161.246.248/29
AzureFrontDoor,ipv4,74.225.54.90/31
AzureFrontDoor,ipv4,74.225.55.96/29
AzureFrontDoor,ipv4,102.133.56.88/29
AzureFrontDoor,ipv4,102.133.216.88/29
AzureFrontDoor,ipv4,135.222.195.0/29
AzureFrontDoor,ipv4,135.222.195.8/31
AzureFrontDoor,ipv4,145.191.109.48/28
AzureFrontDoor,ipv4,147.243.0.0/16
AzureFrontDoor,ipv4,157.55.93.2/31
AzureFrontDoor,ipv4,158.23.108.56/29
AzureFrontDoor,ipv4,172.165.55.172/31
AzureFrontDoor,ipv4,172.165.55.240/29
AzureFrontDoor,ipv4,172.166.242.232/29
AzureFrontDoor,ipv4,172.179.226.0/29
AzureFrontDoor,ipv4,172.179.226.8/31
AzureFrontDoor,ipv4,172.186.128.148/31
AzureFrontDoor,ipv4,172.186.129.160/29
AzureFrontDoor,ipv4,172.186.135.55/32
AzureFrontDoor,ipv4,172.186.135.168/30
AzureFrontDoor,ipv4,172.192.205.94/31
AzureFrontDoor,ipv4,172.192.208.104/29
AzureFrontDoor,ipv4,172.192.222.178/32
AzureFrontDoor,ipv4,172.192.222.180/30
AzureFrontDoor,ipv4,172.199.23.76/30
AzureFrontDoor,ipv4,172.199.23.80/29
AzureFrontDoor,ipv4,172.199.128.49/32
AzureFrontDoor,ipv4,172.199.232.0/29
AzureFrontDoor,ipv4,172.199.232.8/31
AzureFrontDoor,ipv4,172.204.165.112/29
AzureFrontDoor,ipv4,172.207.68.70/31
AzureFrontDoor,ipv4,172.207.69.80/30
AzureFrontDoor,ipv4,191.233.9.120/29
AzureFrontDoor,ipv4,191.235.225.128/29
AzureFrontDoor,ipv6,2603:1000:4::5e0/123
AzureFrontDoor,ipv6,2603:1000:104::c0/123
AzureFrontDoor,ipv6,2603:1000:104::160/123
AzureFrontDoor,ipv6,2603:1000:104:1::5a0/123
AzureFrontDoor,ipv6,2603:1000:104:1::7c0/123
AzureFrontDoor,ipv6,2603:1010:6:1::5a0/123
AzureFrontDoor,ipv6,2603:1010:6:1::7c0/123
AzureFrontDoor,ipv6,2603:1010:101::5e0/123
AzureFrontDoor,ipv6,2603:1010:304::5e0/123
AzureFrontDoor,ipv6,2603:1010:404::5e0/123
AzureFrontDoor,ipv6,2603:1010:502:2::400/123
AzureFrontDoor,ipv6,2603:1020:5:1::5a0/123
AzureFrontDoor,ipv6,2603:1020:5:1::7c0/123
AzureFrontDoor,ipv6,2603:1020:104:3::100/123
AzureFrontDoor,ipv6,2603:1020:206:1::5a0/123
AzureFrontDoor,ipv6,2603:1020:206:1::7c0/123
AzureFrontDoor,ipv6,2603:1020:305::5e0/123
AzureFrontDoor,ipv6,2603:1020:405::5e0/123
AzureFrontDoor,ipv6,2603:1020:605::5e0/123
AzureFrontDoor,ipv6,2603:1020:705:1::5a0/123
AzureFrontDoor,ipv6,2603:1020:705:1::7c0/123
AzureFrontDoor,ipv6,2603:1020:805:1::5a0/123
AzureFrontDoor,ipv6,2603:1020:805:1::7c0/123
AzureFrontDoor,ipv6,2603:1020:905::5e0/123
AzureFrontDoor,ipv6,2603:1020:a04:1::5a0/123
AzureFrontDoor,ipv6,2603:1020:a04:1::7c0/123
AzureFrontDoor,ipv6,2603:1020:b04::5e0/123
AzureFrontDoor,ipv6,2603:1020:c04:1::5a0/123
AzureFrontDoor,ipv6,2603:1020:c04:1::7c0/123
AzureFrontDoor,ipv6,2603:1020:d04::5e0/123
AzureFrontDoor,ipv6,2603:1020:e04:1::5a0/123
AzureFrontDoor,ipv6,2603:1020:e04:1::7c0/123
AzureFrontDoor,ipv6,2603:1020:f04::5e0/123
AzureFrontDoor,ipv6,2603:1020:1004::5a0/123
AzureFrontDoor,ipv6,2603:1020:1004::7c0/123
AzureFrontDoor,ipv6,2603:1020:1104::5e0/123
AzureFrontDoor,ipv6,2603:1020:1204:2::c0/123
AzureFrontDoor,ipv6,2603:1020:1302:1::1a0/123
AzureFrontDoor,ipv6,2603:1020:1403:2::e0/123
